BC1425;Álgebra Linear
MC1301;Álgebra Linear Avançada I
MC3305;Algoritmos e Estruturas de Dados II
EN3528;Análise de Redes de Transporte e Distribuição
EN2706;Análise de Sistemas Dinâmicos Lineares
BC1421;Análise Real I
MC1305;Anéis e Corpos
NH5130;Antropologia Filosófica
EN3233;Aplicações de Elementos Finitos para Engenharia
BC1503;Arquitetura de Computadores
MC6004;Avaliação de Desempenho de Redes
EN2132;Avaliação de Impactos Ambientais
BH1122;Avaliação e Monitoramento de Políticas Públicas
EN3234;Aviônica
MC3310;Banco de Dados
BC0001;Base Experimental das Ciências Naturais
BC0005;Bases Computacionais da Ciência
BC0004;Bases Epistemológicas da Ciência Moderna
BC0003;Bases Matemáticas
MC8000;Bases Neurais da Motricidade
NH1703;Biologia Animal I
BC1320;Biologia Molecular e Biotecnologia
NH1702;Biologia Vegetal I
EN2324;Biossegurança
BC1716;Cálculo de Probabilidade
BC1499;Cálculo Numérico
BC0603;Ciência, Tecnologia e Sociedade
EN2321;Ciências dos Materiais Biocompatíveis
BC1519;Circuitos Elétricos e Fotônica
EN2705;Circuitos Elétricos II
EN3707;Circuitos Hidráulicos e Pneumáticos
NH1004;Citogenética Básica
BC1515;Computação Gráfica
BC0506;Comunicação e Redes
EN2620;Comunicações Móveis
EN3722;Confiabilidade de Componentes e Sistemas
BH1300;Conflitos Sociais
NHZ3088-15;Consolidação de Conceitos e Métodos de Fenômenos Eletromagnéticos
EN3125;Contaminação e Remediação de Solos
EN3710;Controle Não-Linear
EN3709;Controle Robusto Multivariável
EN2532;Custos
BH0102;Desenvolvimento e Sustentabilidade
CS3401;Desenvolvimento Humano e Pobreza Urbana
EN2520;Desenvolvimento Integrado do Produto
EN3809;Diagramas de Fase
BC1627;Didática
CS3303;Dinâmica dos Investimentos Produtivos Internacionais
EN2219;Dinâmica e Controle de Veículos Espaciais
EN2223;Dinâmica I
EN3202;Dinâmica Orbital
BH1136;Econometria III
BH1137;Economia Brasileira Contemporânea III
EN2424;Economia da Energia
BH1120;Economia e Meio Ambiente
BH1115;Economia Internacional II
NH4105;Educação à Distância e Novas Tecnologias
BC1630;Educação Ambiental
BC1602;Educação Científica, Sociedade e Cultura
EN2521;Elaboração, Análise e Avaliação de Projetos
NH3101;Eletroanalítica e Técnicas de Separação
EN2720;Eletrônica Analógica Aplicada
EN2605;Eletrônica Digital
EN3535;Empreendedorismo
EN3431;Energia de Sistemas Solares Térmicos
EN2425;Energia, Meio Ambiente e Sociedade
BC0207;Energia: Origens, Conversão e Uso
EN3477;Engenharia de Biocombustíveis II
EN2328;Engenharia de Reabilitação e Biofeedback
BC1713;Engenharia Econômica
EN3524;Engenharia Humana
EN1002;Engenharia Unificada I
EN1004;Engenharia Unificada II
EN3332;Ergonomia
BC1107;Espectroscopia
EN2232;Estabilidade e Controle de Aeronaves
BH1123;Estado e Desenvolvimento Econômico no Brasil Contemporâneo
BH0101;Estado e Relações de Poder
NH4151;Estágio Supervisionado em Ciências Biológicas I - Nível Médio
NH4251;Estágio Supervisionado em Ciências Biológicas II - Nível Médio
NH4351;Estágio Supervisionado em Ciências Biológicas III - Nível Médio
MC7110;Estágio Supervisionado em Computação I 
MC7111;Estágio Supervisionado em Computação II 
MC7112;Estágio Supervisionado em Computação III 
NH4510;Estágio Supervisionado em Filosofia III
NH4152;Estágio Supervisionado em Física I - Nível Médio
NH4252;Estágio Supervisionado em Física II - Nível Médio
NH4352;Estágio Supervisionado em Física III - Nível Médio
MC8150;Estágio Supervisionado em Matemática I (Nível Médio)
MC8250;Estágio Supervisionado em Matemática II (Nível Médio)
MC8350;Estágio Supervisionado em Matemática III (Nível Médio)
NH4153;Estágio Supervisionado em Química I (Nível Médio)
BC1628;Estágio Supervisionado I (Nível Fundamental)
BC1629;Estágio Supervisionado II (Nível Fundamental)
BH1214;Estética: Perspectivas Contemporâneas
BC0102;Estrutura da Matéria
BC0602;Estrutura e Dinâmica Social
BH1204;Ética: perspectivas contemporâneas
NH2431;Evolução da Física
NH5111;Existencialismo
NH3109;Experimentação e Ensino de Química
BC0209;Fenômenos Eletromagnéticos
BH1206;Filosofia da Linguagem
NH5121;Filosofia da Mente
BH1221;Filosofia do Ensino de Filosofia
BH1216;Filosofia no Brasil e na América Latina
BH1208;Filosofia Política: perspectivas contemporâneas
BH1138;Finanças Corporativas
CS3205;Finanças I (Apreçamento de Ativos)
NH2043;Física Computacional
NH2231;Física de Semicondutores
BC1319;Física do Contínuo
NH4198;Física Térmica
NH3004;Físico-Química Experimental
EN2420;Fontes Não-Renováveis de Energia
CS4113;Formação das Políticas Educacionais no Brasil
CS4112;Formação das Políticas Educacionais no Brasil
BH1332;Formação Histórica da América Latina
BC1417;Funções Complexas e Transformadas Integrais
BC0402;Funções de Uma Variável
BC0407;Funções de Várias Variáveis
NH3601;Funções e Reações Orgânicas
NH2801;Fundamentos da Eletrostática
NH2133;Fundamentos da Relatividade Geral
MC8102;Fundamentos de Álgebra
ESZE067-14;Fundamentos de Conversão de Energia Elétrica
BC1416;Fundamentos de Desenho e Projeto
EN2405;Fundamentos de Máquinas Elétricas
BC1323;Genética Molecular
BH1333;Geografia Política
MC2103;Geometria Diferencial II
EN3108;Geomorfologia Descritiva
EN2528;Gerência de Ativos
EN2511;Gestão de Operações
BH1103;Governo, Burocracia e Administração Pública
EN2109;Hidrologia
BH1348;História da Cidade e do Urbanismo
NH4106;História da Ciência e Ensino
BH1309;História da Filosofia Medieval: Patrística e Escolástica
BH1310;História da Filosofia Moderna: o Iluminismo e seus desdobramentos
MC8311;História da Matemática
BH1404;Historiografia e História das Ciências
BH0302;Identidade e Cultura
BHQ0302-14;Identidade e Cultura
EN2514;Inovação Tecnológica
EN2403;Instalações Elétricas I
EN3336;Instalações Hospitalares
EN2331;Instrumentação Biomédica Avançada
BC1507;Instrumentação e Controle
MC3311;Inteligência Artificial
BC0104;Interações Atômicas e Moleculares
BHQ0303-14;Interpretações do Brasil
BC1334;Introdução à Física Médica
BC1203;Introdução à Física Nuclear
BC1414;Introdução à Modelagem e Processos Estocásticos
BC1008;Introdução à Neurociência
BC1004;Introdução à Neurociência Computacional
BC0406;Introdução à Probabilidade e à Estatística
NH3204;Introdução a Processos Industriais Biotecnológicos
MCZA032-14;Introdução à Programação de Jogos
MC8106;Introdução à Psicolinguística
EN2536;Introdução aos Processos de Fabricação Metal -Mecânico
EN2422;Introdução aos Sistemas Elétricos de Potência
BC1710;Introdução às Engenharias
BC0405;Introdução às Equações Diferenciais Ordinárias
BH1100;Introdução às Políticas Públicas
BC1314;Laboratório de Física Básica II
EN2231;Laboratório de Guiagem, Navegação e Controle
EN3546;Lógica em Sistemas de Gestão
BH1134;Macroeconomia II
EN2711;Máquinas Elétricas
BC1437;Matemática Discreta
EN2813;Materiais Cerâmicos
EN2814;Materiais Compósitos
EN2230;Materiais Compósitos e Aplicações Estruturais
BC1105;Materiais e Suas Propriedades
EN2811;Materiais Metálicos
EN2812;Materiais Poliméricos
NH2903;Mecânica Analítica II
NH2703;Mecânica Clássica
EN2228;Mecânica dos Fluidos Avançada
BC1103;Mecânica dos Fluidos I
BC1104;Mecânica dos Sólidos
BH1403;Metodologia
EN2224;Métodos Computacionais para Análise Estrutural
NH2030;Métodos da Mecânica Quântica
BH1350;Métodos e Técnicas de Análise de Informação para o Planejamento
BC1707;Métodos Experimentais em Engenharia
EN2318;Métodos Matemáticos Aplicados a Sistemas Biomédicos
BH1133;Microeconomia II
NH2332;Microscopia Eletrônica
EN2322;Modelagem e Simulação de Sistemas Biomédicos
EN3556;Modelos e Ferramentas de Gestão Ambiental
BH1330;Modelos Econômicos e Análise das Dinâmicas Territoriais
EN3549;Negociação e Solução de Conflitos Organizacionais
BC1306;Noções de Astronomia e Cosmologia
BH1355;Oficina de Planejamento Urbano
EN2409;Operação de Sistemas Elétricos de Potência
EN3421;Operações e Equipamentos Industriais I
EN3422;Operações e Equipamentos Industriais II
NH3106;Operações Unitárias II
EN3717;Optoeletrônica
BC0304;Origem da Vida e Diversidade dos Seres Vivos
MC8001;Patologias do Sistema Nervoso Central
CS3410;Patrimônio Cultural e Paisagem
BH0103;Pensamento Econômico
CS3101;Pensamento Latino-Americano e Políticas de CTI
MC8300;Pesquisa e Comunicação Científica
EN2531;Pesquisa Operacional
BH1356;Planejamento e Política Ambiental
BH1357;Planejamento e Política Regional
BH1359;Política Metropolitana
BH1128;Políticas Públicas Sul-Americanas
MCZA038-14;Prática Avançada de Programação A
BH1224;Prática de Ensino de Filosofia III
BC1305;Práticas de Ecologia
NH4101;Práticas de Ensino de Biologia I
NH4102;Práticas de Ensino de Física I
MC8105;Práticas de Ensino de Matemática I
NH4103;Práticas de Ensino de Química I
NH3104;Práticas de Química Verde
EN2608;Princípios de Comunicação
BC1330;Princípios de Termodinâmica
BC0505;Processamento da Informação
EN3818;Processamento de Cerâmicas
EN3605;Processamento de Informação em Línguas Naturais
EN2610;Processamento Digital de Sinais
EN3824;Processamento e Conformação de Metais
EN2622;Programação de Software Embarcado
MCZA033-14;Programação para Dispositivos Móveis
MC0037;Programação para Web
EN2225;Projeto de Elementos Estruturais de Aeronaves I
MC3104;Projeto de Graduação em Computação I
MC7108;Projeto de Graduação em Computação II
MC7109;Projeto de Graduação em Computação III
BC0002;Projeto Dirigido
EN3454;Proteção de Sistemas Elétricos de Potência
MC7006;Psicofarmacologia
BC1006;Psicologia Cognitiva
MC8100;Psicologia Experimental
EN3116;Questões Ambientais Globais
BC1302;Química dos Elementos
BC1005;Recursos Hídricos
EN3726;Redes de Barramento de Campo
EN3443;Resíduos Nucleares
EN3704;Robôs Móveis Autônomos
BC1523;Segurança de Dados
EN2819;Seleção de Materiais
NH3205;Seminários em Química II
MC8099;Sensação e Percepção
EN3525;Simulação de Modelos de Gestão
EN3615;Simulação de Sistemas de Comunicação
EN3816;Simulação e Processamento de Polímeros
EN3815;Síntese de Polímeros
BH1154;Sistema Financeiro Internacional: de Bretton Woods ao non-sistema
BC1324;Sistemas Biológicos III
EN2716;Sistemas CAD/CAM
EN2704;Sistemas de Controle I
EN2710;Sistemas de Controle II
EN2136;Transportes e Mobilidade Urbana
EN2138;Sistemas de Esgotos e Drenagem Urbana
EN2227;Sistemas de Propulsão I
EN2140;Sistemas de Tratamento de Águas e Efluentes
EN2537;Sistemas e Processos de Produção
EN3465;Sistemas Fluidomecânicos
EN3619;Sistemas Inteligentes
EN2617;Sistemas Microprocessados
EN2426;Sistemas Térmicos
BH1155;Sociedade Civil Organizada Global
EN3728;Supervisão e Monitoramento de Processos Energéticos
BH1341;Surgimento da China como Potência Mundial
EN3547;Técnicas de Tomadas de Decisão Aplicáveis em Modelos de Dependência
BH1406;Técnicas em Pesquisa
EN3330;Técnicas Modernas em Fotodiagnóstico
EN2515;Tecnologia da Informação
EN2619;Telefonia Fixa Moderna
BH0201;Temas e Problemas em Filosofia
EN2508;Tempos, Métodos e Arranjos Físicos
MC8209;Tendências em Educação Matemática
BC1405;Teoria Aritmética dos Números
MC1104;Teoria da Medida e Integração
BC1220;Teoria da Relatividade
EN3527;Teoria das Decisões
EN2102;Teoria do Planejamento Urbano e Ambiental
MC2206;Teoria dos Jogos
BC1218;Teoria Eletromagnética
BH0206;Teorias da Justiça
BC1309;Termodinâmica Aplicada
EN2427;Termodinâmica Aplicada II
NH3602;Termoquímica
NH1016;Toxicologia
NH1017;Trabalho de Conclusão de Curso em Biologia
NH2000;Trabalho de Conclusão de Curso em Física
MC2110;Trabalho de Conclusão de Curso em Matemática I
MC2111;Trabalho de Conclusão de Curso em Matemática II
MCTB027-13;Trabalho de Conclusão de Curso em Matemática III
CS3301;Trajetória de Desenvolvimento de Países Exportadores de Petróleo
CS2118;Trajetórias das Políticas de C.T.I no Brasil
EN2229;Transferência de Calor Aplicada a Sistemas Aeroespaciais
EN2411;Transferência de Calor II
EN3467;Transferência de Calor Industrial
EN2103;Transferência de Massa
BC0307;Transformações Químicas
EN2210;Aeroelasticidade
EN2213;Aerodinâmica I
EN2220;Aeronáutica I
